time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.contacts
1970/01/01/01:00:35.296000,1685,35,296000000,,"[True, False, False, True]"
1970/01/01/01:00:35.316000,1686,35,316000000,,"[False, False, False, False]"
1970/01/01/01:00:35.336000,1687,35,336000000,,"[True, False, False, True]"
1970/01/01/01:00:35.356000,1688,35,356000000,,"[True, False, False, True]"
1970/01/01/01:00:35.376000,1689,35,376000000,,"[True, False, False, True]"
1970/01/01/01:00:35.396000,1690,35,396000000,,"[True, False, True, True]"
1970/01/01/01:00:35.416000,1691,35,416000000,,"[True, False, True, True]"
1970/01/01/01:00:35.439000,1692,35,439000000,,"[False, False, True, False]"
1970/01/01/01:00:35.456000,1693,35,456000000,,"[False, True, True, False]"
1970/01/01/01:00:35.476000,1694,35,476000000,,"[False, True, True, False]"
1970/01/01/01:00:35.496000,1695,35,496000000,,"[False, True, True, False]"
1970/01/01/01:00:35.516000,1696,35,516000000,,"[False, True, True, False]"
1970/01/01/01:00:35.536000,1697,35,536000000,,"[False, True, True, False]"
1970/01/01/01:00:35.557000,1698,35,556000000,,"[False, True, True, False]"
1970/01/01/01:00:35.576000,1699,35,577000000,,"[False, True, True, False]"
1970/01/01/01:00:35.596000,1700,35,596000000,,"[False, True, True, False]"
1970/01/01/01:00:35.616000,1701,35,616000000,,"[False, True, True, False]"
1970/01/01/01:00:35.644000,1702,35,644000000,,"[False, False, False, False]"
1970/01/01/01:00:35.659000,1703,35,659000000,,"[False, True, True, False]"
1970/01/01/01:00:35.676000,1704,35,676000000,,"[False, True, True, True]"
1970/01/01/01:00:35.696000,1705,35,696000000,,"[True, False, False, True]"
1970/01/01/01:00:35.717000,1706,35,717000000,,"[True, False, False, True]"
1970/01/01/01:00:35.736000,1707,35,736000000,,"[True, False, False, True]"
1970/01/01/01:00:35.759000,1708,35,759000000,,"[True, False, False, True]"
1970/01/01/01:00:35.777000,1709,35,776000000,,"[True, False, False, True]"
1970/01/01/01:00:35.796000,1710,35,796000000,,"[True, False, False, True]"
1970/01/01/01:00:35.821000,1711,35,816000000,,"[True, False, False, True]"
1970/01/01/01:00:35.836000,1712,35,836000000,,"[True, False, False, True]"
1970/01/01/01:00:35.856000,1713,35,856000000,,"[True, False, False, True]"
1970/01/01/01:00:35.876000,1714,35,876000000,,"[True, False, False, True]"
1970/01/01/01:00:35.898000,1715,35,898000000,,"[True, False, False, True]"
1970/01/01/01:00:35.916000,1716,35,916000000,,"[True, False, True, True]"
1970/01/01/01:00:35.936000,1717,35,936000000,,"[False, False, False, False]"
1970/01/01/01:00:35.956000,1718,35,956000000,,"[False, True, True, False]"
1970/01/01/01:00:35.976000,1719,35,976000000,,"[False, True, True, False]"
1970/01/01/01:00:35.996000,1720,35,996000000,,"[False, True, True, False]"
1970/01/01/01:00:36.017000,1721,36,16000000,,"[False, True, True, False]"
1970/01/01/01:00:36.036000,1722,36,36000000,,"[False, True, True, False]"
1970/01/01/01:00:36.056000,1723,36,56000000,,"[False, True, True, False]"
1970/01/01/01:00:36.076000,1724,36,76000000,,"[False, True, True, False]"
1970/01/01/01:00:36.096000,1725,36,96000000,,"[False, True, True, False]"
1970/01/01/01:00:36.124000,1726,36,119000000,,"[False, True, True, False]"
1970/01/01/01:00:36.136000,1727,36,136000000,,"[False, True, True, False]"
1970/01/01/01:00:36.156000,1728,36,156000000,,"[False, True, True, False]"
1970/01/01/01:00:36.176000,1729,36,176000000,,"[True, True, True, True]"
1970/01/01/01:00:36.196000,1730,36,196000000,,"[True, False, False, True]"
1970/01/01/01:00:36.216000,1731,36,216000000,,"[True, False, False, True]"
1970/01/01/01:00:36.236000,1732,36,237000000,,"[True, False, False, True]"
1970/01/01/01:00:36.256000,1733,36,256000000,,"[True, False, False, True]"
1970/01/01/01:00:36.277000,1734,36,277000000,,"[True, False, False, True]"
1970/01/01/01:00:36.296000,1735,36,296000000,,"[True, False, False, True]"
1970/01/01/01:00:36.316000,1736,36,316000000,,"[True, False, False, True]"
1970/01/01/01:00:36.336000,1737,36,336000000,,"[True, False, False, True]"
1970/01/01/01:00:36.356000,1738,36,356000000,,"[True, False, False, True]"
1970/01/01/01:00:36.377000,1739,36,376000000,,"[True, False, False, True]"
1970/01/01/01:00:36.397000,1740,36,396000000,,"[True, False, False, True]"
1970/01/01/01:00:36.416000,1741,36,416000000,,"[True, False, True, True]"
1970/01/01/01:00:36.439000,1742,36,438000000,,"[False, True, True, False]"
1970/01/01/01:00:36.456000,1743,36,456000000,,"[False, True, True, False]"
1970/01/01/01:00:36.476000,1744,36,476000000,,"[False, True, True, False]"
1970/01/01/01:00:36.499000,1745,36,498000000,,"[False, True, True, False]"
1970/01/01/01:00:36.519000,1746,36,516000000,,"[False, True, True, False]"
1970/01/01/01:00:36.536000,1747,36,536000000,,"[False, True, True, False]"
1970/01/01/01:00:36.556000,1748,36,556000000,,"[False, True, True, False]"
1970/01/01/01:00:36.574000,1749,36,579000000,,"[False, True, True, False]"
1970/01/01/01:00:36.596000,1750,36,596000000,,"[False, True, True, False]"
1970/01/01/01:00:36.616000,1751,36,616000000,,"[False, True, True, False]"
1970/01/01/01:00:36.636000,1752,36,636000000,,"[False, True, True, False]"
1970/01/01/01:00:36.656000,1753,36,656000000,,"[False, True, True, True]"
1970/01/01/01:00:36.676000,1754,36,676000000,,"[True, True, True, True]"
1970/01/01/01:00:36.696000,1755,36,696000000,,"[True, False, False, True]"
1970/01/01/01:00:36.716000,1756,36,716000000,,"[True, False, False, True]"
1970/01/01/01:00:36.747000,1757,36,743000000,,"[True, False, False, True]"
1970/01/01/01:00:36.756000,1758,36,756000000,,"[True, False, False, True]"
1970/01/01/01:00:36.776000,1759,36,776000000,,"[True, False, False, True]"
1970/01/01/01:00:36.796000,1760,36,796000000,,"[True, False, False, True]"
